Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764261862,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764261863,2,,Aggregated,0.000000,0.000000,740,740,740,740,740,740,740,740,740,740,740,1,1,743.9348999760114,743.9348999760114,743.9348999760114,743.9348999760114,0.0
1764261864,4,,Aggregated,0.000000,0.000000,740,740,810,810,810,810,810,810,810,810,810,3,3,740.0,754.4906333399316,713.2616000017151,806.2754000420682,0.0
1764261865,8,,Aggregated,0.000000,0.000000,740,810,810,2000,2000,2000,2000,2000,2000,2000,2000,5,3,740.0,999.0977400098927,699.8433000408113,2032.1734999888577,9694.8
1764261866,10,,Aggregated,0.500000,0.500000,700,710,740,810,2000,2000,2000,2000,2000,2000,2000,9,6,700.0,743.6331888893619,261.3886999897659,2032.1734999888577,8079.0
1764261867,10,,Aggregated,1.333333,1.000000,600,700,740,810,2000,2700,2700,2700,2700,2700,2700,15,9,600.0,746.7086866692019,197.42099998984486,2654.312100028619,9694.8
1764261868,10,,Aggregated,1.750000,1.250000,280,600,700,710,810,2000,2700,2700,2700,2700,2700,21,11,280.0,592.4918761898186,170.42399995261803,2654.312100028619,11541.42857142857
1764261869,10,,Aggregated,2.800000,1.800000,280,590,690,700,810,2000,2700,2700,2700,2700,2700,26,13,260.0,535.5431499976056,149.55639996333048,2654.312100028619,12118.5
1764261870,10,,Aggregated,3.000000,1.833333,280,530,690,700,810,2000,2700,2700,2700,2700,2700,28,14,260.0,515.5410357089879,149.55639996333048,2654.312100028619,12118.5
1764261871,10,,Aggregated,3.428571,1.714286,260,530,690,710,810,2000,2700,2700,2700,2700,2700,34,16,260.0,513.7798088202117,129.69370000064373,2654.312100028619,12831.35294117647
1764261872,10,,Aggregated,3.428571,1.714286,260,530,600,700,810,2000,2700,2700,2700,2700,2700,37,16,260.0,501.91064864692805,129.69370000064373,2654.312100028619,13756.135135135135
1764261873,10,,Aggregated,3.333333,1.666667,260,470,600,700,810,2000,2700,2700,2700,2700,2700,40,17,260.0,482.45275749941356,129.69370000064373,2654.312100028619,13936.275
1764261874,10,,Aggregated,3.700000,1.600000,270,380,590,690,790,1400,2700,2700,2700,2700,2700,48,23,260.0,457.81774374700035,129.69370000064373,2654.312100028619,12623.4375
1764261875,10,,Aggregated,3.700000,1.600000,260,380,580,690,790,1400,2700,2700,2700,2700,2700,50,23,260.0,447.6897299964912,129.69370000064373,2654.312100028619,13087.98
1764261876,10,,Aggregated,4.300000,1.900000,260,330,530,600,740,1400,2000,2700,2700,2700,2700,54,25,260.0,429.9159981439718,129.69370000064373,2654.312100028619,13016.166666666666
1764261877,10,,Aggregated,4.600000,2.000000,260,330,470,590,740,1400,2000,2700,2700,2700,2700,58,27,260.0,416.7925948247008,129.69370000064373,2654.312100028619,12954.258620689656
1764261878,10,,Aggregated,4.600000,1.900000,260,330,470,590,740,1400,2100,2700,2700,2700,2700,64,30,260.0,427.9423359348584,129.69370000064373,2654.312100028619,12875.90625
1764261879,10,,Aggregated,4.600000,1.900000,260,310,380,590,740,1400,2100,2700,2700,2700,2700,65,31,260.0,425.71778307453945,129.69370000064373,2654.312100028619,12677.815384615385
1764261880,10,,Aggregated,4.200000,1.700000,260,310,380,580,740,1400,2100,2700,2700,2700,2700,71,35,260.0,426.1323563364321,129.69370000064373,2654.312100028619,12289.18309859155
1764261881,10,,Aggregated,4.100000,1.900000,260,310,380,580,740,1400,2100,2700,2700,2700,2700,74,36,260.0,418.0540445927732,129.69370000064373,2654.312100028619,12446.027027027027
1764261882,10,,Aggregated,4.200000,1.900000,260,290,340,530,740,1400,2100,2700,2700,2700,2700,78,37,260.0,406.06851538252204,129.69370000064373,2654.312100028619,12739.961538461539
1764261883,10,,Aggregated,4.300000,2.100000,260,290,340,530,740,1300,2100,2700,2700,2700,2700,85,41,260.0,400.26148587999427,129.0447000064887,2654.312100028619,12546.211764705882
1764261884,10,,Aggregated,3.800000,2.000000,260,290,340,470,740,1300,2100,2700,2700,2700,2700,87,42,260.0,395.44369654941386,129.0447000064887,2654.312100028619,12536.379310344828
1764261885,10,,Aggregated,4.400000,2.400000,260,300,360,470,740,1300,2100,2700,2700,2700,2700,93,45,260.0,393.4270462349197,129.0447000064887,2654.312100028619,12509.41935483871
